tbl,id,doc
locations,1,"{""id"":1,""kind"":""country"",""parent_id"":null,""name"":""India"",""slug"":""india"",""code"":""IN"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""India"",""is_active"":1}"
locations,2,"{""id"":2,""kind"":""state"",""parent_id"":1,""name"":""Assam"",""slug"":""assam"",""code"":""AS"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Assam, India"",""is_active"":1}"
locations,3,"{""id"":3,""kind"":""district"",""parent_id"":2,""name"":""Kamrup Metropolitan"",""slug"":""kamrup-metropolitan"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,4,"{""id"":4,""kind"":""city"",""parent_id"":3,""name"":""Guwahati"",""slug"":""guwahati"",""code"":null,""pin_code"":null,""latitude"":26.1445,""longitude"":91.7362,""search_text"":""Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,5,"{""id"":5,""kind"":""locality"",""parent_id"":4,""name"":""Uzan Bazar"",""slug"":""uzan-bazar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Uzan Bazar, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,6,"{""id"":6,""kind"":""pincode"",""parent_id"":5,""name"":""781001"",""slug"":""pin-781001"",""code"":null,""pin_code"":""781001"",""latitude"":null,""longitude"":null,""search_text"":""781001, Uzan Bazar, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,7,"{""id"":7,""kind"":""locality"",""parent_id"":4,""name"":""Dispur"",""slug"":""dispur"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Dispur, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,8,"{""id"":8,""kind"":""pincode"",""parent_id"":7,""name"":""781006"",""slug"":""pin-781006"",""code"":null,""pin_code"":""781006"",""latitude"":null,""longitude"":null,""search_text"":""781006, Dispur, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,9,"{""id"":9,""kind"":""locality"",""parent_id"":4,""name"":""Jalukbari"",""slug"":""jalukbari"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Jalukbari, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,10,"{""id"":10,""kind"":""pincode"",""parent_id"":9,""name"":""781014"",""slug"":""pin-781014"",""code"":null,""pin_code"":""781014"",""latitude"":null,""longitude"":null,""search_text"":""781014, Jalukbari, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,11,"{""id"":11,""kind"":""locality"",""parent_id"":4,""name"":""Basistha"",""slug"":""basistha"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Basistha, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,12,"{""id"":12,""kind"":""pincode"",""parent_id"":11,""name"":""781028"",""slug"":""pin-781028"",""code"":null,""pin_code"":""781028"",""latitude"":null,""longitude"":null,""search_text"":""781028, Basistha, Guwahati, Kamrup Metropolitan, Assam, India"",""is_active"":1}"
locations,13,"{""id"":13,""kind"":""district"",""parent_id"":2,""name"":""Kamrup"",""slug"":""kamrup"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Kamrup, Assam, India"",""is_active"":1}"
locations,14,"{""id"":14,""kind"":""city"",""parent_id"":13,""name"":""Hajo"",""slug"":""hajo"",""code"":null,""pin_code"":null,""latitude"":26.2414,""longitude"":91.5294,""search_text"":""Hajo, Kamrup, Assam, India"",""is_active"":1}"
locations,15,"{""id"":15,""kind"":""locality"",""parent_id"":14,""name"":""Hajo Town"",""slug"":""hajo-town"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Hajo Town, Hajo, Kamrup, Assam, India"",""is_active"":1}"
locations,16,"{""id"":16,""kind"":""pincode"",""parent_id"":15,""name"":""781102"",""slug"":""pin-781102"",""code"":null,""pin_code"":""781102"",""latitude"":null,""longitude"":null,""search_text"":""781102, Hajo Town, Hajo, Kamrup, Assam, India"",""is_active"":1}"
locations,17,"{""id"":17,""kind"":""district"",""parent_id"":2,""name"":""Dibrugarh"",""slug"":""dibrugarh"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Dibrugarh, Assam, India"",""is_active"":1}"
locations,18,"{""id"":18,""kind"":""city"",""parent_id"":17,""name"":""Dibrugarh"",""slug"":""dibrugarh"",""code"":null,""pin_code"":null,""latitude"":27.4728,""longitude"":94.912,""search_text"":""Dibrugarh, Dibrugarh, Assam, India"",""is_active"":1}"
locations,19,"{""id"":19,""kind"":""locality"",""parent_id"":18,""name"":""Graham Bazar"",""slug"":""graham-bazar"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Graham Bazar, Dibrugarh, Dibrugarh, Assam, India"",""is_active"":1}"
locations,20,"{""id"":20,""kind"":""pincode"",""parent_id"":19,""name"":""786001"",""slug"":""pin-786001"",""code"":null,""pin_code"":""786001"",""latitude"":null,""longitude"":null,""search_text"":""786001, Graham Bazar, Dibrugarh, Dibrugarh, Assam, India"",""is_active"":1}"
locations,21,"{""id"":21,""kind"":""state"",""parent_id"":1,""name"":""Maharashtra"",""slug"":""maharashtra"",""code"":""MH"",""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Maharashtra, India"",""is_active"":1}"
locations,22,"{""id"":22,""kind"":""district"",""parent_id"":21,""name"":""Mumbai Suburban"",""slug"":""mumbai-suburban"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
locations,23,"{""id"":23,""kind"":""city"",""parent_id"":22,""name"":""Mumbai"",""slug"":""mumbai"",""code"":null,""pin_code"":null,""latitude"":19.076,""longitude"":72.8777,""search_text"":""Mumbai, Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
locations,24,"{""id"":24,""kind"":""locality"",""parent_id"":23,""name"":""Andheri East"",""slug"":""andheri-east"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Andheri East, Mumbai, Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
locations,25,"{""id"":25,""kind"":""pincode"",""parent_id"":24,""name"":""400069"",""slug"":""pin-400069"",""code"":null,""pin_code"":""400069"",""latitude"":null,""longitude"":null,""search_text"":""400069, Andheri East, Mumbai, Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
locations,26,"{""id"":26,""kind"":""locality"",""parent_id"":23,""name"":""Bandra West"",""slug"":""bandra-west"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Bandra West, Mumbai, Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
locations,27,"{""id"":27,""kind"":""pincode"",""parent_id"":26,""name"":""400050"",""slug"":""pin-400050"",""code"":null,""pin_code"":""400050"",""latitude"":null,""longitude"":null,""search_text"":""400050, Bandra West, Mumbai, Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
locations,28,"{""id"":28,""kind"":""locality"",""parent_id"":23,""name"":""Borivali West"",""slug"":""borivali-west"",""code"":null,""pin_code"":null,""latitude"":null,""longitude"":null,""search_text"":""Borivali West, Mumbai, Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
locations,29,"{""id"":29,""kind"":""pincode"",""parent_id"":28,""name"":""400092"",""slug"":""pin-400092"",""code"":null,""pin_code"":""400092"",""latitude"":null,""longitude"":null,""search_text"":""400092, Borivali West, Mumbai, Mumbai Suburban, Maharashtra, India"",""is_active"":1}"
